designation,d,bf,tw,tf,Zx
W16X26,15.7,5.5,0.25,0.345,44.2
W14X873,23.6,18.8,3.94,5.51,2030.0
W14X808,22.8,18.6,3.74,5.12,1830.0
W14X730,22.4,17.9,3.07,4.91,1660.0
W14X665,21.6,17.7,2.83,4.52,1480.0
W14X605,20.9,17.4,2.6,4.16,1320.0
W14X550,20.2,17.2,2.38,3.82,1180.0
W14X500,19.6,17.0,2.19,3.5,1050.0
W14X455,19.0,16.8,2.02,3.21,936.0
W14X426,18.7,16.7,1.88,3.04,869.0
W14X398,18.3,16.6,1.77,2.85,801.0
W14X370,17.9,16.5,1.66,2.66,736.0
W14X342,17.5,16.4,1.54,2.47,672.0
W14X311,17.1,16.2,1.41,2.26,603.0
W14X283,16.7,16.1,1.29,2.07,542.0
W14X257,16.4,16.0,1.18,1.89,487.0
W14X233,16.0,15.9,1.07,1.72,436.0
W14X211,15.7,15.8,0.98,1.56,390.0
W14X193,15.5,15.7,0.89,1.44,355.0
W14X176,15.2,15.7,0.83,1.31,320.0
W14X159,15.0,15.6,0.745,1.19,287.0
W14X145,14.8,15.5,0.68,1.09,260.0
W14X132,14.7,14.7,0.645,1.03,234.0
W14X120,14.5,14.7,0.59,0.94,212.0
W14X109,14.3,14.6,0.525,0.86,192.0
W14X99,14.2,14.6,0.485,0.78,173.0
W14X90,14.0,14.5,0.44,0.71,157.0
W14X82,14.3,10.1,0.51,0.855,139.0
W14X74,14.2,10.1,0.45,0.785,126.0
W14X68,14.0,10.0,0.415,0.72,115.0
W14X61,13.9,10.0,0.375,0.645,102.0
W14X53,13.9,8.06,0.37,0.66,87.1
W14X48,13.8,8.03,0.34,0.595,78.4
W14X43,13.7,8.0,0.305,0.53,69.6
W14X38,14.1,6.77,0.31,0.515,61.5
W14X34,14.0,6.75,0.285,0.455,54.6
W14X30,13.8,6.73,0.27,0.385,47.3
W14X26,13.9,5.03,0.255,0.42,40.2
W14X22,13.7,5.0,0.23,0.335,33.2
W12X336,16.8,13.4,1.78,2.96,603.0
W12X305,16.3,13.2,1.63,2.71,537.0
W12X279,15.9,13.1,1.53,2.47,481.0
W12X252,15.4,13.0,1.4,2.25,428.0
W12X230,15.1,12.9,1.29,2.07,386.0
W12X210,14.7,12.8,1.18,1.9,348.0
W12X190,14.4,12.7,1.06,1.74,311.0
W12X170,14.0,12.6,0.96,1.56,275.0
W12X152,13.7,12.5,0.87,1.4,243.0
W12X136,13.4,12.4,0.79,1.25,214.0
W12X120,13.1,12.3,0.71,1.11,186.0
W12X106,12.9,12.2,0.61,0.99,164.0
W12X96,12.7,12.2,0.55,0.9,147.0
W12X87,12.5,12.1,0.515,0.81,132.0
W12X79,12.4,12.1,0.47,0.735,119.0
W12X72,12.3,12.0,0.43,0.67,108.0
W12X65,12.1,12.0,0.39,0.605,96.8
W12X58,12.2,10.0,0.36,0.64,86.4
W12X53,12.1,10.0,0.345,0.575,77.9
W12X50,12.2,8.08,0.37,0.64,71.9
W12X45,12.1,8.05,0.335,0.575,64.2
W12X40,11.9,8.01,0.295,0.515,57.0
W12X35,12.5,6.56,0.3,0.52,51.2
W12X30,12.3,6.52,0.26,0.44,43.1
W12X26,12.2,6.49,0.23,0.38,37.2
W12X22,12.3,4.03,0.26,0.425,29.3
W12X19,12.2,4.01,0.235,0.35,24.7
